filePath,module,fileName,pmnt,tpcbis,csec,wmc,rfc,dc,loc,cloc,lcom2
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\package-info.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,package-info,100.0%,0,1,0,0,1.0,4.0,4.0,0
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\PeriodAxis.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,PeriodAxis,51.162792%,836,25,90,105,0.45810565,1098.0,503.0,613
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,PeriodAxisLabelInfo,71.42857%,562,7,16,22,0.690625,320.0,221.0,45
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\QuarterDateFormat.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,QuarterDateFormat,33.333332%,9,3,8,6,0.6723164,177.0,119.0,1
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\StandardTickUnitSource.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,StandardTickUnitSource,60.000004%,257,8,5,8,0.7647059,119.0,91.0,6
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\SubCategoryAxis.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,SubCategoryAxis,53.846157%,298,15,27,51,0.4861461,397.0,193.0,24
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\SymbolAxis.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,SymbolAxis,70.0%,49,21,42,68,0.4434655,681.0,302.0,102
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\Tick.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,Tick,71.42857%,312,46,9,7,0.7452229,157.0,117.0,9
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\TickType.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,TickType,100.0%,0,12,0,0,1.0666667,45.0,48.0,0
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\TickUnit.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,TickUnit,66.666664%,257,20,11,8,0.7185629,167.0,120.0,1
